"Item type","Authors","Editors","Title","Journal","Journal (full title)","Website name","Source","Publication year","Volume","Issue","Pages","Folders filed in","Labels filed in","Publisher","Publisher place","Date published","Date accessed","ISBN","ISSN","ISSN (alt.)","URLs","DOI","PMID","PMC ID","Abstract","Keywords","Copyright","Affiliation","Language","Subtype","Pages cited","Advisor","University","Department","Attachments","Level of thesis"
"Journal article","Miller PG,Qiao D,Rojas-Quintero J,Honigberg MC,Sperling AS,Gibson CJ,Bick AG,Niroula A,McConkey ME,Sandoval B,Miller BC,Shi W,Viswanathan K,Leventhal M,Werner L,Moll M,Cade BE,Barr RG,Correa A,Cupples LA,Gharib SA,Jain D,Gogarten SM,Lange LA,London SJ,Manichaikul A,O'Connor GT,Oelsner EC,Redline S,Rich SS,Rotter JI,Ramachandran V,Yu B,Sholl L,Neuberg D,Jaiswal S,Levy BD,Owen CA,Natarajan P,Silverman EK,van Galen P,Tesfaigzi Y,Cho MH,Ebert BL,COPDGene Study Investigators, National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine Consortium","","Association of clonal hematopoiesis with chronic obstructive pulmonary disease","Blood","Blood","","","2022","139","3","357-368","My Papers","","American Society of Hematology","","2022-01-20","","","0006-4971","1528-0020","http://dx.doi.org/10.1182/blood.2021013531;https://www.ncbi.nlm.nih.gov/pubmed/34855941;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8777202;https://ashpublications.org/blood/article-lookup/doi/10.1182/blood.2021013531;https://linkinghub.elsevier.com/retrieve/pii/476856;https://ashpublications.org/blood/article-pdf/doi/10.1182/blood.2021013531/1849183/blood.2021013531.pdf;https://ashpublications.org/blood/article/doi/10.1182/blood.2021013531/476856/Association-of-Clonal-Hematopoiesis-with-Chronic?searchresult=1;https://ashpublications.org/blood/article-pdf/139/3/357/1861313/bloodbld2021013531.pdf;https://ashpublications.org/blood/article/139/3/357/476856/Association-of-clonal-hematopoiesis-with-chronic","10.1182/blood.2021013531","34855941","PMC8777202","Chronic obstructive pulmonary disease (COPD) is associated with age and smoking, but other determinants of the disease are incompletely understood. Clonal hematopoiesis of indeterminate potential (CHIP) is a common, age-related state in which somatic mutations in clonal blood populations induce aberrant inflammatory responses. Patients with CHIP have an elevated risk for cardiovascular disease, but the association of CHIP with COPD remains unclear. We analyzed whole-genome sequencing and whole-exome sequencing data to detect CHIP in 48 835 patients, of whom 8444 had moderate to very severe COPD, from four separate cohorts with COPD phenotyping and smoking history. We measured emphysema in murine models in which Tet2 was deleted in hematopoietic cells. In the COPDGene cohort, individuals with CHIP had risks of moderate-to-severe, severe, or very severe COPD that were 1.6 (adjusted 95% confidence interval [CI], 1.1-2.2) and 2.2 (adjusted 95% CI, 1.5-3.2) times greater than those for noncarriers. These findings were consistently observed in three additional cohorts and meta-analyses of all patients. CHIP was also associated with decreased FEV1% predicted in the COPDGene cohort (mean between-group differences, -5.7%; adjusted 95% CI, -8.8% to -2.6%), a finding replicated in additional cohorts. Smoke exposure was associated with a small but significant increased risk of having CHIP (odds ratio, 1.03 per 10 pack-years; 95% CI, 1.01-1.05 per 10 pack-years) in the meta-analysis of all patients. Inactivation of Tet2 in mouse hematopoietic cells exacerbated the development of emphysema and inflammation in models of cigarette smoke exposure. Somatic mutations in blood cells are associated with the development and severity of COPD, independent of age and cumulative smoke exposure.","","http://creativecommons.org/licenses/by/2.0/","Department of Medical Oncology, Dana-Farber Cancer Institute, and. Division of Hematology, Department of Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston, MA. Broad Institute of the Massachusetts Institute of Technology and Harvard University, Cambridge, MA. Channing Division of Network Medicine, Department of Medicine, and. Division of Pulmonary and Critical Care Medicine, Brigham and Women's Hospital, and. Cardiology Division, Massachusetts General Hospital, Harvard Medical School, Boston, MA. Program in Medical and Population Genetics, Broad Institute of Harvard, Cambridge, MA. Cardiovascular Research Center and Center for Genomic Medicine, Massachusetts General Hospital, Boston, MA. Division of Genetic Medicine, Department of Medicine, Vanderbilt University Medical Center, Nashville, TN. Department of Pathology, Brigham and Women's Hospital and Harvard Medical School, Boston, MA. Department of Data Sciences, Dana-Farber Cancer Institute, Boston, MA. Division of Sleep and Circadian Disorders, Brigham and Women's Hospital, Boston, MA. Division of Sleep Medicine, Harvard Medical School, Boston, MA. Department of Medicine and Department of Epidemiology, Columbia University Medical Center, New York, NY. Department of Medicine, University of Mississippi Medical Center, Jackson, MS. Department of Biostatistics, Boston University School of Public Health, Boston, MA. Framingham Heart Study, Framingham, MA. Computational Medicine Core, Center for Lung Biology, and. Division of Pulmonary, Critical Care, and Sleep Medicine, Department of Medicine, and. Department of Biostatistics, University of Washington, Seattle, WA. University of Colorado Anschutz Medical Campus, Denver, CO. Epidemiology Branch, National Institute of Environmental Health Sciences, National Institutes of Health, Department of Health and Human Services, Research Triangle Park, NC. Center for Public Health Genomics and. Department of Public Health Sciences, University of Virginia, Charlottesville, VA. Division of Pulmonary, Allergy, Sleep, and Critical Care Medicine, Department of Medicine, Boston University School of Medicine, Boston, MA. Department of Medicine, Columbia University Medical Center, New York, NY. Division of Pulmonary, Critical Care, and Sleep Medicine, Beth Israel Deaconess Medical Center, Boston, MA. The Institute for Translational Genomics and Population Sciences, Department of Pediatrics, The Lundquist Institute for Biomedical Innovation at Harbor-University of California-Los Angeles Medical Center, Torrance, CA. Preventive Medicine Section, Epidemiology Section, and Cardiovascular Medicine Section, Department of Medicine, Boston University School of Medicine, Boston, MA. Department of Epidemiology, Boston University Center for Computing and Data Science, Boston University School of Public Health, Boston, MA. University of Texas Health Science Center, School of Public Health, Houston, TX. Department of Pathology, Stanford University, Palo Alto, CA; and. Howard Hughes Medical Institute, Bethesda, MD.","en","Research Article","","","","","miller,copdgene study investigators, national heart, lung, and blood ins ... onal hematopoiesis with chronic obstructive pulmonary disease - Blood.pdf",""
"Journal article","Kim KL,van Galen P,Hovestadt V,Rahme GJ,Andreishcheva EN,Shinde A,Gaskell E,Jones DR,Shema E,Bernstein BE","","Systematic detection of m6A-modified transcripts at single-molecule and single-cell resolution","Cell Rep. Methods","Cell Reports Methods","","","2021","1","5","100061","My Papers","","Elsevier BV","","2021-09-27","2025-08-17","","2667-2375","","http://dx.doi.org/10.1016/j.crmeth.2021.100061;https://linkinghub.elsevier.com/retrieve/pii/S2667237521001090;https://pubmed.ncbi.nlm.nih.gov/34734208/;https://www.ncbi.nlm.nih.gov/pubmed/34734208;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8562683","10.1016/j.crmeth.2021.100061","34734208","PMC8562683","Epigenetic modifications control the stability and translation of mRNA molecules. Here, we present a microscopy-based platform for quantifying modified RNA molecules and for relating the modification patterns to single-cell phenotypes. We directly capture mRNAs from cell lysates on oligo-dT-coated coverslips, then visually detect and sequence individual m6A-immunolabled transcripts without amplification. Integration of a nanoscale device enabled us to isolate single cells on the platform, and thereby relate single-cell m6A modification states to gene expression signatures and cell surface markers. Application of the platform to MUTZ3 leukemia cells revealed a marked reduction in cellular m6A levels as CD34+ leukemic progenitors differentiate to CD14+ myeloid cells. We then coupled single-molecule m6A detection with fluorescence in situ hybridization (FISH) to relate mRNA and m6A levels of individual genes to single-cell phenotypes. This single-cell multi-modal assay suite can empower investigations of RNA modifications in rare populations and single cells.","","http://creativecommons.org/licenses/by/4.0/","","en","Research Article","","","","","kim,bernstein2021systematic detection of m6a-modified transcripts at single-molecule and single-cell resolution - Cell Rep Methods.pdf",""
"Journal article","Shareef SJ,Bevill SM,Raman AT,Aryee MJ,van Galen P,Hovestadt V,Bernstein BE","","Extended-representation bisulfite sequencing of gene regulatory elements in multiplexed samples and single cells","Nat. Biotechnol.","Nature Biotechnology","","","2021","39","9","1086-1094","My Papers","","Springer Science and Business Media LLC","","2021-09","","","1087-0156","1546-1696","http://dx.doi.org/10.1038/s41587-021-00910-x;https://www.ncbi.nlm.nih.gov/pubmed/33958785;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8434949;https://doi.org/10.1038/s41587-021-00910-x;https://www.nature.com/articles/s41587-021-00910-x;https://www.nature.com/articles/s41587-021-00910-x.pdf","10.1038/s41587-021-00910-x","33958785","PMC8434949","The biological roles of DNA methylation have been elucidated by profiling methods based on whole-genome or reduced-representation bisulfite sequencing, but these approaches do not efficiently survey the vast numbers of non-coding regulatory elements in mammalian genomes. Here we present an extended-representation bisulfite sequencing (XRBS) method for targeted profiling of DNA methylation. Our design strikes a balance between expanding coverage of regulatory elements and reproducibly enriching informative CpG dinucleotides in promoters, enhancers and CTCF binding sites. Barcoded DNA fragments are pooled before bisulfite conversion, allowing multiplex processing and technical consistency in low-input samples. Application of XRBS to single leukemia cells enabled us to evaluate genetic copy number variations and methylation variability across individual cells. Our analysis highlights heterochromatic H3K9me3 regions as having the highest cell-to-cell variability in their methylation, likely reflecting inherent epigenetic instability of these late-replicating regions, compounded by differences in cell cycle stages among sampled cells.","","","Department of Pathology and Center for Cancer Research, Massachusetts General Hospital and Harvard Medical School, Boston, MA, USA. Broad Institute of Harvard and MIT, Cambridge, MA, USA. Department of Biostatistics, Harvard T.H. Chan School of Public Health, Boston, MA, USA. Division of Hematology, Brigham and Women's Hospital and Harvard Medical School, Boston, MA, USA. Department of Pathology and Center for Cancer Research, Massachusetts General Hospital and Harvard Medical School, Boston, MA, USA. volker_hovestadt@dfci.harvard.edu. Broad Institute of Harvard and MIT, Cambridge, MA, USA. volker_hovestadt@dfci.harvard.edu. Department of Pediatric Oncology, Dana-Farber Cancer Institute, Boston, MA, USA. volker_hovestadt@dfci.harvard.edu. Division of Hematology/Oncology, Boston Children's Hospital, Boston, MA, USA. volker_hovestadt@dfci.harvard.edu. Department of Pathology and Center for Cancer Research, Massachusetts General Hospital and Harvard Medical School, Boston, MA, USA. bernstein.bradley@mgh.harvard.edu. Broad Institute of Harvard and MIT, Cambridge, MA, USA. bernstein.bradley@mgh.harvard.edu.","en","Research Article","","","","","shareef,bernstein2021extended-representation bisulfite sequencing of gen ... ory elements in multiplexed samples and single cells - Nat Biotechnol.pdf",""
"Journal article","Acosta J,Ssozi D,van Galen P","","Single-cell RNA sequencing to disentangle the blood system","Arterioscler. Thromb. Vasc. Biol.","Arteriosclerosis, Thrombosis, and Vascular Biology","","","2021","41","3","1012-1018","My Papers","Highlight","Ovid Technologies (Wolters Kluwer Health)","","2021-03","","","1079-5642","1524-4636","http://dx.doi.org/10.1161/ATVBAHA.120.314654;https://www.ncbi.nlm.nih.gov/pubmed/33441024;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7901535;https://www.ahajournals.org/doi/abs/10.1161/ATVBAHA.120.314654?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed;https://www.ahajournals.org/doi/10.1161/ATVBAHA.120.314654?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed;https://www.ahajournals.org/doi/10.1161/ATVBAHA.120.314654","10.1161/ATVBAHA.120.314654","33441024","PMC7901535","The blood system is often represented as a tree-like structure with stem cells that give rise to mature blood cell types through a series of demarcated steps. Although this representation has served as a model of hierarchical tissue organization for decades, single-cell technologies are shedding new light on the abundance of cell type intermediates and the molecular mechanisms that ensure balanced replenishment of differentiated cells. In this Brief Review, we exemplify new insights into blood cell differentiation generated by single-cell RNA sequencing, summarize considerations for the application of this technology, and highlight innovations that are leading the way to understand hematopoiesis at the resolution of single cells. Graphic Abstract: A graphic abstract is available for this article.","blood cells; computational biology; hematopoiesis; stem cells; technology","","Division of Hematology, Brigham and Women's Hospital, Boston, MA. Department of Medicine, Harvard Medical School, Boston, MA. Broad Institute of MIT and Harvard, Cambridge, MA.","en","Review","","","","","acosta,van galen2021single-cell rna sequencing to disentangle the blood system - Arterioscler Thromb Vasc Biol.pdf",""
"Journal article","Eyler CE,Matsunaga H,Hovestadt V,Vantine SJ,van Galen P,Bernstein BE","","Single-cell lineage analysis reveals genetic and epigenetic interplay in glioblastoma drug resistance","Genome Biol.","Genome Biology","","","2020","21","1","174","My Papers","","Springer Science and Business Media LLC","","2020-07-15","","","1474-7596","1474-760X","http://dx.doi.org/10.1186/s13059-020-02085-1;https://www.ncbi.nlm.nih.gov/pubmed/32669109;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364565;https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02085-1;https://doi.org/10.1186/s13059-020-02085-1;https://genomebiology.biomedcentral.com/track/pdf/10.1186/s13059-020-02085-1","10.1186/s13059-020-02085-1","32669109","PMC7364565","BACKGROUND: Tumors can evolve and adapt to therapeutic pressure by acquiring genetic and epigenetic alterations that may be transient or stable. A precise understanding of how such events contribute to intratumoral heterogeneity, dynamic subpopulations, and overall tumor fitness will require experimental approaches to prospectively label, track, and characterize resistant or otherwise adaptive populations at the single-cell level. In glioblastoma, poor efficacy of receptor tyrosine kinase (RTK) therapies has been alternatively ascribed to genetic heterogeneity or to epigenetic transitions that circumvent signaling blockade. RESULTS: We combine cell lineage barcoding and single-cell transcriptomics to trace the emergence of drug resistance in stem-like glioblastoma cells treated with RTK inhibitors. Whereas a broad variety of barcoded lineages adopt a Notch-dependent persister phenotype that sustains them through early drug exposure, rare subclones acquire genetic changes that enable their rapid outgrowth over time. Single-cell analyses reveal that these genetic subclones gain copy number amplifications of the insulin receptor substrate-1 and substrate-2 (IRS1 or IRS2) loci, which activate insulin and AKT signaling programs. Persister-like cells and genomic amplifications of IRS2 and other loci are evident in primary glioblastomas and may underlie the inefficacy of targeted therapies in this disease. CONCLUSIONS: A method for combined lineage tracing and scRNA-seq reveals the interplay between complementary genetic and epigenetic mechanisms of resistance in a heterogeneous glioblastoma tumor model.","Epigenetic; Genetic; Glioma stem cells; Insulin receptor substrate/IRS; Lineage tracing; Single-cell RNA-seq; Therapy resistance; Tumor heterogeneity","https://creativecommons.org/licenses/by/4.0","Department of Radiation Oncology, Massachusetts General Hospital and Harvard Medical School, Boston, MA, USA. Broad Institute of Harvard and MIT, Cambridge, MA, USA. Department of Pathology and Center for Cancer Research, Massachusetts General Hospital and Harvard Medical School, Boston, MA, USA. Broad Institute of Harvard and MIT, Cambridge, MA, USA. bernstein.bradley@mgh.harvard.edu. Department of Pathology and Center for Cancer Research, Massachusetts General Hospital and Harvard Medical School, Boston, MA, USA. bernstein.bradley@mgh.harvard.edu.","en","Research Article","","","","","eyler,bernstein2020 - Supplement.pdf;eyler,bernstein2020single-cell lineage analysis reveals genetic and epigenetic interplay in glioblastoma drug resistance - Genome Biol.pdf",""
"Journal article","van Galen P","","Decoding the noncoding cancer genome","Cancer Discov.","Cancer Discovery","","","2020","10","5","646-647","My Papers","","American Association for Cancer Research (AACR)","","2020-05","","","2159-8274","2159-8290","http://dx.doi.org/10.1158/2159-8290.CD-20-0285;https://www.ncbi.nlm.nih.gov/pubmed/32357969;https://aacrjournals.org/cancerdiscovery/article-lookup/doi/10.1158/2159-8290.CD-20-0285;http://cancerdiscovery.aacrjournals.org/cgi/pmidlookup?view=long&pmid=32357969;https://aacrjournals.org/cancerdiscovery/article/10/5/646/2598/Decoding-the-Noncoding-Cancer-Genome","10.1158/2159-8290.CD-20-0285","32357969","","In this issue of Cancer Discovery, Li and colleagues provide a blueprint for the identification and functional validation of cancer-associated mutations in noncoding regions of the genome. Integration of whole-genome sequencing and high-throughput epigenome editing screens is starting to reveal the extent to which noncoding genetic lesions contribute to cancer.See related article by Li et al., p. 724.","","","Division of Hematology, Brigham and Women's Hospital, Boston, Massachusetts. Department of Medicine, Harvard Medical School, Boston, Massachusetts. Broad Institute of MIT and Harvard, Cambridge, Massachusetts. pvangalen@bwh.harvard.edu.","en","Commentary","","","","","van galen,van galen2020decoding the noncoding cancer genome - Cancer Discov.pdf",""
"Journal article","Cabal-Hierro L,van Galen P,Prado MA,Higby KJ,Togami K,Mowery CT,Paulo JA,Xie Y,Cejas P,Furusawa T,Bustin M,Long HW,Sykes DB,Gygi SP,Finley D,Bernstein BE,Lane AA","","Chromatin accessibility promotes hematopoietic and leukemia stem cell activity","Nat. Commun.","Nature Communications","","","2020","11","1","1406","My Papers","","Springer Science and Business Media LLC","","2020-03-16","","","2041-1723","","http://dx.doi.org/10.1038/s41467-020-15221-z;https://www.ncbi.nlm.nih.gov/pubmed/32179749;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076002;https://doi.org/10.1038/s41467-020-15221-z;https://www.nature.com/articles/s41467-020-15221-z","10.1038/s41467-020-15221-z","32179749","PMC7076002","Chromatin organization is a highly orchestrated process that influences gene expression, in part by modulating access of regulatory factors to DNA and nucleosomes. Here, we report that the chromatin accessibility regulator HMGN1, a target of recurrent DNA copy gains in leukemia, controls myeloid differentiation. HMGN1 amplification is associated with increased accessibility, expression, and histone H3K27 acetylation of loci important for hematopoietic stem cells (HSCs) and leukemia, such as HoxA cluster genes. In vivo, HMGN1 overexpression is linked to decreased quiescence and increased HSC activity in bone marrow transplantation. HMGN1 overexpression also cooperates with the AML-ETO9a fusion oncoprotein to impair myeloid differentiation and enhance leukemia stem cell (LSC) activity. Inhibition of histone acetyltransferases CBP/p300 relieves the HMGN1-associated differentiation block. These data nominate factors that modulate chromatin accessibility as regulators of HSCs and LSCs, and suggest that targeting HMGN1 or its downstream effects on histone acetylation could be therapeutically active in AML.","","https://creativecommons.org/licenses/by/4.0","Department of Medical Oncology, Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA, USA. Broad Institute of Harvard and MIT, Cambridge, MA, USA. Department of Pathology, Massachusetts General Hospital, Harvard Medical School, Boston, MA, USA. Department of Cell Biology, Harvard Medical School, Boston, MA, USA. Center for Functional Cancer Epigenetics, Dana-Farber Cancer Institute, Boston, MA, USA. Laboratory of Metabolism, National Cancer Institute, Bethesda, MD, USA. Center for Regenerative Medicine, Massachusetts General Hospital, Boston, MA, USA. Department of Medical Oncology, Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA, USA. andrew_lane@dfci.harvard.edu. Broad Institute of Harvard and MIT, Cambridge, MA, USA. andrew_lane@dfci.harvard.edu.","en","Research Article","","","","","cabal-hierro,lane2020chromatin accessibility promotes hematopoietic and leukemia stem cell activity - Nat Commun.pdf",""
"Journal article","Yassin M,Aqaqe N,Yassin AA,van Galen P,Kugler E,Bernstein BE,Koren-Michowitz M,Canaani J,Nagler A,Lechman ER,Dick JE,Wienholds E,Izraeli S,Milyavsky M","","A novel method for detecting the cellular stemness state in normal and leukemic human hematopoietic cells can predict disease outcome and drug sensitivity","Leukemia","Leukemia","","","2019","33","8","2061-2077","My Papers","","Springer Science and Business Media LLC","","2019-08","","","0887-6924","1476-5551","http://dx.doi.org/10.1038/s41375-019-0386-z;https://www.ncbi.nlm.nih.gov/pubmed/30705411;https://doi.org/10.1038/s41375-019-0386-z;https://www.nature.com/articles/s41375-019-0386-z","10.1038/s41375-019-0386-z","30705411","","Acute leukemia is an aggressive blood malignancy with low survival rates. A high expression of stem-like programs in leukemias predicts poor prognosis and is assumed to act in an aberrant fashion in the phenotypically heterogeneous leukemia stem cell (LSC) population. A lack of suitable genome engineering tools that can isolate LSCs based on their stemness precludes their comprehensive examination and full characterization. We hypothesized that tagging endogenous stemness-regulatory regions could generate a genome reporter for the putative leukemia stemness-state. Our analysis revealed that the ERG + 85 enhancer region can serve as a marker for stemness-state and a fluorescent lentiviral reporter was developed that can accurately recapitulate the endogenous activity. Using our novel reporter, we revealed cellular heterogeneity in several leukemia cell lines and patient-derived samples. Alterations in reporter activity were associated with transcriptomic and functional changes that were closely related to the hematopoietic stem cell (HSC) identity. Notably, the differentiation potential was skewed towards the erythro-megakaryocytic lineage. Moreover, an ERG + 85High fraction of AML cells could regenerate the original cellular heterogeneity and was enriched for LSCs. RNA-seq analysis coupled with in silico drug-screen analysis identified 4HPR as an effective inhibitor of ERG + 85High leukemia growth. We propose that further utilization of our novel molecular tool will identify crucial determinants of LSCs, thus providing a rationale for their therapeutic targeting.","","","Department of Pathology, Sackler Faculty of Medicine, Tel Aviv University, Tel Aviv-Yafo, Israel. Center for Cancer Research, Massachusetts General Hospital, Boston, MA, 02114, USA. Department of Pediatric Hemato-Oncology, Schneider Children Medical Center, Petah Tikva, Israel. The Gene Development and Environment Pediatric Research Institute, Pediatric Hemato-Oncology, Edmond and Lily Safra Children's Hospital, Chaim Sheba Medical Center, Tel Hashomer, Ramat Gan, Israel. Department of Molecular Human Genetics and Biochemistry, Sackler Faculty of Medicine, Tel Aviv University, Tel Aviv-Yafo, Israel. Hematology Division, Chaim Sheba Medical Center, Tel-Hashomer, Israel. Princess Margaret Cancer Centre, University Health Network and Department of Molecular Genetics, University of Toronto, Toronto, ON, Canada. Department of Pathology, Sackler Faculty of Medicine, Tel Aviv University, Tel Aviv-Yafo, Israel. mmilyavsky@post.tau.ac.il.","en","Research Article","","","","","yassin,milyavsky2019a novel method for detecting the cellular stemness s ... tic cells can predict disease outcome and drug sensitivity - Leukemia.pdf",""
"Website","Epstein CB","","Mint-ChIP3: A low-input ChIP-seq protocol using multiplexed chromatin and T7 amplification, published on Jul 12, 2019","","","protocols.io","","2019","","","","My Papers","","protocols.io","","2019-07-12","2026-03-01","","","","https://www.protocols.io/view/mint-chip3-a-low-input-chip-seq-protocol-using-mul-wbefaje;https://www.protocols.io/view/mint-chip3-a-low-input-chip-seq-protocol-using-mul-rm7vznk84vx1/v1;https://www.protocols.io/view/mint-chip3-a-low-input-chip-seq-protocol-using-mul-wbefaje.pdf;https://www.protocols.io/view/mint-chip3-a-low-input-chip-seq-protocol-using-mul-wbefaje#article","","","","This is a ChIP-seq protocol that uses native chromatin plus MNase digestion, and employs ligation of a barcoded adapter with a T7 promoter after MNase digestion and prior to the...","","","","en","","","","","","epstein,epstein2019mint-chip3 - a low-input chip-seq protocol using multiplexed chromatin and t7 amplification, published on jul 12, 2019.pdf",""
"Journal article","Kaufmann KB,Garcia-Prat L,Liu Q,Ng SWK,Takayanagi SI,Mitchell A,Wienholds E,van Galen P,Cumbaa CA,Tsay MJ,Pastrello C,Wagenblast E,Krivdova G,Minden MD,Lechman ER,Zandi S,Jurisica I,Wang JCY,Xie SZ,Dick JE","","A stemness screen reveals C3orf54/INKA1 as a promoter of human leukemia stem cell latency","Blood","Blood","","","2019","133","20","2198-2211","My Papers","","American Society of Hematology","","2019-05-16","","","0006-4971","1528-0020","http://dx.doi.org/10.1182/blood-2018-10-881441;https://www.ncbi.nlm.nih.gov/pubmed/30796022;https://linkinghub.elsevier.com/retrieve/pii/S0006-4971(20)42559-5;https://ashpublications.org/blood/article-lookup/doi/10.1182/blood-2018-10-881441;https://ashpublications.org/blood/article/133/20/2198/273856/A-stemness-screen-reveals-C3orf54INKA1-as-a","10.1182/blood-2018-10-881441","30796022","","There is a growing body of evidence that the molecular properties of leukemia stem cells (LSCs) are associated with clinical outcomes in acute myeloid leukemia (AML), and LSCs have been linked to therapy failure and relapse. Thus, a better understanding of the molecular mechanisms that contribute to the persistence and regenerative potential of LSCs is expected to result in the development of more effective therapies. We therefore interrogated functionally validated data sets of LSC-specific genes together with their known protein interactors and selected 64 candidates for a competitive in vivo gain-of-function screen to identify genes that enhanced stemness in human cord blood hematopoietic stem and progenitor cells. A consistent effect observed for the top hits was the ability to restrain early repopulation kinetics while preserving regenerative potential. Overexpression (OE) of the most promising candidate, the orphan gene C3orf54/INKA1, in a patient-derived AML model (8227) promoted the retention of LSCs in a primitive state manifested by relative expansion of CD34+ cells, accumulation of cells in G0, and reduced output of differentiated progeny. Despite delayed early repopulation, at later times, INKA1-OE resulted in the expansion of self-renewing LSCs. In contrast, INKA1 silencing in primary AML reduced regenerative potential. Mechanistically, our multidimensional confocal analysis found that INKA1 regulates G0 exit by interfering with nuclear localization of its target PAK4, with concomitant reduction of global H4K16ac levels. These data identify INKA1 as a novel regulator of LSC latency and reveal a link between the regulation of stem cell kinetics and pool size during regeneration.","","","Princess Margaret Cancer Centre, University Health Network, Toronto, ON, Canada. Department of Molecular Genetics, University of Toronto, Toronto, ON, Canada. Regenerative Medicine Laboratories, Kyowa Hakko Kirin Co., Ltd., Tokyo, Japan. Massachusetts General Hospital, Boston, MA. Krembil Research Institute, University Health Network, Toronto, ON, Canada. Department of Medical Biophysics. Department of Medicine, and. Department of Computer Sciences, University of Toronto, Toronto, ON, Canada; and. Division of Medical Oncology and Hematology, University Health Network, Toronto, ON, Canada.","en","Research Article","","","","","kaufmann,dick2019a stemness screen reveals c3orf54 - inka1 as a promoter of human leukemia stem cell latency - Blood.pdf",""
